id,incident_date,district,bias_code,bias_code_2,bias,status,#_of_victims,victim_type,#_of_suspects,#_suspects_<_18_of_age,#_suspects_18-35_of_age,#_suspects_36-45_of_age,#_suspects_46-55_of_age,#_suspects_>_55_of_age,suspect_known/unknown,year,month,year_month
250053727,2025-12-01,2,Anti-Homosexual,Anti-Transgender,Other,Closed-Arrest,NA,Religious Organization,1,NA,1,NA,NA,NA,Known,2025,12,2025-12-01
250053227,2025-11-28,3,Anti-Black,Anti-Jewish,Vandalism,Open,NA,Business/Financial Institution,NA,NA,NA,NA,NA,NA,NA,2025,11,2025-11-01
250052845,2025-11-25,5,Anti-Jewish,NA,Written Intimidation/Simple Assault,Open,1,Religious Organization,NA,NA,NA,NA,NA,NA,NA,2025,11,2025-11-01
250052437,2025-11-22,1,Anti-Islamic,NA,Verbal Intimidation/Simple Assault,Open,NA,Individual(s),1,NA,NA,NA,NA,NA,Unknown,2025,11,2025-11-01
250052346,2025-11-21,3,Anti-Catholic,NA,Verbal Intimidation/Simple Assault,Open,1,Religious Organization,1,NA,NA,NA,NA,NA,Known,2025,11,2025-11-01
250052224,2025-11-21,1,Anti-Asian,NA,Written Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,1,NA,NA,NA,NA,Known,2025,11,2025-11-01
250051675,2025-11-21,2,Anti-Jewish,NA,Vandalism,Open,NA,Society,NA,NA,NA,NA,NA,NA,NA,2025,11,2025-11-01
250052047,2025-11-20,5,Anti-Islamic,NA,Vandalism,Open,NA,Society,NA,NA,NA,NA,NA,NA,NA,2025,11,2025-11-01
250051904,2025-11-19,3,Anti-Mental Disability,NA,Vandalism,Open,NA,Business/Financial Institution,NA,NA,NA,NA,NA,NA,NA,2025,11,2025-11-01
250051484,2025-11-17,2,Anti-Homosexual,Anti-Transgender,Other,Open,NA,Religious Organization,1,NA,NA,NA,NA,NA,Unknown,2025,11,2025-11-01
250050943,2025-11-13,6,Anti-Other Ethnicity,NA,Verbal Intimidation/Simple Assault,Open,1,Individual(s),1,NA,NA,NA,NA,NA,Unknown,2025,11,2025-11-01
250051032,2025-11-13,4,Anti-Black,NA,Physical Intimidation/Simple Assault,N/A,2,Individual(s),2,NA,1,NA,NA,1,Known,2025,11,2025-11-01
250051251,2025-11-13,3,Anti-Black,NA,Vandalism,Closed-Admin,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2025,11,2025-11-01
250050461,2025-11-10,2,Anti-Homosexual,Anti-Transgender,Other,Open,NA,Religious Organization,1,NA,NA,NA,NA,NA,Unknown,2025,11,2025-11-01
250050061,2025-11-07,2,Anti-Mental Disability,NA,Verbal Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,1,NA,NA,NA,NA,Known,2025,11,2025-11-01
250050036,2025-11-07,3,Anti-Multi-Racial,NA,Verbal Intimidation/Simple Assault,Closed-Admin,NA,Individual(s),1,NA,NA,NA,NA,NA,Known,2025,11,2025-11-01
250049794,2025-11-06,6,Anti-Homosexual,NA,Verbal Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,1,NA,NA,NA,NA,Known,2025,11,2025-11-01
250049884,2025-11-06,2,Anti-Asian,NA,Verbal Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,1,NA,NA,NA,NA,Known,2025,11,2025-11-01
250049892,2025-11-06,3,Anti-Jewish,NA,Vandalism,Closed-Admin,NA,School/College,NA,NA,NA,NA,NA,NA,NA,2025,11,2025-11-01
250048988,2025-11-01,1,Anti-Jewish,NA,Verbal Intimidation/Simple Assault,Open,3,Individual(s),NA,NA,NA,NA,NA,NA,Unknown,2025,11,2025-11-01
250048574,2025-10-29,2,Anti-Black,Anti-Mental Disability,Social Media,Closed-Admin,NA,Individual(s),1,1,NA,NA,NA,NA,Known,2025,10,2025-10-01
250048214,2025-10-27,3,Anti-Black,NA,Verbal Intimidation/Simple Assault,Closed-Admin,1,Individual(s),1,NA,NA,NA,NA,NA,Known,2025,10,2025-10-01
250048278,2025-10-27,6,Anti-Hispanic,NA,Verbal Intimidation/Simple Assault,Open,5,Individual(s),1,NA,NA,NA,NA,NA,Unknown,2025,10,2025-10-01
