"ID","Incident Date","District","Bias Code","Bias Code_2","Bias","Status","# of Victims","Victim Type","# of Suspects","# Suspects < 18 of age","# Suspects 18-35 of age","# Suspects 36-45 of age","# Suspects 46-55 of age","# Suspects > 55 of age","Suspect Known/Unknown"
"260003495","01/29/2026","5D","Anti-Male Homosexual",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,,"Known"
"260003623","01/23/2026","TPPD","Anti-Black",,"Verbal Intimidation/Simple Assault","Open","2","Individual(s)","2",,,,,"2","Known"
"260003583","01/23/2026","1D","Anti-Multi-Religious Group",,"Other","Open",,"Religious Organization",,,,,,,
"260003392","01/22/2026","2D","Anti-Black",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"260003262","01/21/2026","4D","Anti-Hispanic",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1",,,,,,"Known"
"260003258","01/21/2026","2D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"260003071","01/20/2026","2D","Anti-Jewish",,"Written Intimidation/Simple Assault","Closed-Admin",,"Society",,,,,,,
"260003102","01/20/2026","TPPD","Anti-Homosexual",,"Vandalism","Open",,"Society",,,,,,,
"260002842","01/18/2026","4D","Anti-Islamic",,"Written Intimidation/Simple Assault","Open",,"School/College","1",,,,,,"Unknown"
"260002472","01/16/2026","2D","Anti-Islamic",,"Vandalism","Open",,"School/College","4",,,,,,"Unknown"
"260002502","01/16/2026","3D","Anti-Black",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"260002476","01/16/2026","4D","Anti-Hispanic",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,"1","Known"
"260002209","01/14/2026","2D","Anti-Islamic",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"260001980","01/13/2026","6D","Anti-Jewish",,"Vandalism","Open",,"Business/Financial Institution",,,,,,,
"260001991","01/13/2026","6D","Anti-Jewish",,"Vandalism-Motor Vehicle","Open","1","Individual(s)",,,,,,,
"260001873","01/12/2026","5D","Anti-Jewish",,"Written Intimidation/Simple Assault","Open","1","Individual(s)","1","1",,,,,"Known"
"260001795","01/12/2026","2D","Anti-Jewish",,"Other","Open",,"Religious Organization","1",,,,,,"Unknown"
"260001659","01/11/2026","4D","Anti-Islamic",,"Other","Open","1","Individual(s)","1",,,,,,"Unknown"
"260000816","01/07/2026","5D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College","2","2",,,,,"Known"
"260001009","01/07/2026","2D","Anti-Arab",,"Verbal Intimidation/Simple Assault","Open","2","Individual(s)",,,,,,,
"250058134","12/30/2025","2D","Anti-Arab",,"Other","Closed-Arrest",,"Business/Financial Institution","1",,,"1",,,"Known"
"250058029","12/29/2025","2D","Anti-Jewish",,"Vandalism","Open",,"Business/Financial Institution",,,,,,,"Unknown"
"250057923","12/28/2025","2D","Anti-Hispanic",,"Assault (simple)","Open","1","Individual(s)","1","1",,,,,"Known"
"250057472","12/24/2025","2D","Anti-Jewish",,"Other","Open","1","Individual(s)",,,,,,,
"250057463","12/24/2025","2D","Anti-Black",,"Assault (simple)","Open","1","Individual(s)","1",,,,,"1","Known"
"250057075","12/22/2025","3D","Anti-Mental Disability",,"Written Intimidation/Simple Assault","Closed-Admin","3","Individual(s)",,,,,,,"Unknown"
"250056690","12/19/2025","5D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250056696","12/19/2025","2D","Anti-Jewish","Anti-Homosexual","Written Intimidation/Simple Assault","Closed-Admin",,"Individual(s)",,,,,,,"Unknown"
"250056571","12/18/2025","2D","Anti-Jewish",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1",,,"1",,,"Known"
"250056354","12/17/2025","3D","Anti-Other Ethnicity",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250056195","12/17/2025","2D","Anti-Multi-Racial",,"Written Intimidation/Simple Assault","N/A",,"Business/Financial Institution",,,,,,,"Unknown"
"250056373","12/17/2025","2D","Anti-Jewish",,"Vandalism","Open",,"Society","1",,,,,"1","Known"
"250056163","12/17/2025","2D","Anti-Black",,"Vandalism","N/A","1","Individual(s)",,,,,,,"Unknown"
"250056007","12/15/2025","5D","Anti-Black",,"Physical Intimidation/Simple Assault","Open","1","Individual(s)","1",,"1",,,,"Known"
"250055631","12/12/2025","3D","Anti-Hispanic","Anti-Jewish","Vandalism","Open",,"School/College",,,,,,,
"250055219","12/11/2025","3D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,"Unknown"
"250055168","12/10/2025","1D","Anti-Black",,"Assault (physical)","Closed-Arrest","2","Individual(s)","1",,,"1",,,"Known"
"250054835","12/08/2025","5D","Anti-Jewish",,"Vandalism","Open",,"Society",,,,,,,"Unknown"
"250054257","12/04/2025","2D","Anti-Homosexual",,"Written Intimidation/Simple Assault","N/A",,"Individual(s)",,,,,,,"Unknown"
"250053727","12/01/2025","2D","Anti-Homosexual","Anti-Transgender","Other","Closed-Arrest",,"Religious Organization","1",,"1",,,,"Known"
"250053227","11/28/2025","3D","Anti-Black","Anti-Jewish","Vandalism","Open",,"Business/Financial Institution",,,,,,,
"250052845","11/25/2025","5D","Anti-Jewish",,"Written Intimidation/Simple Assault","Open","1","Religious Organization",,,,,,,
"250052437","11/22/2025","1D","Anti-Islamic",,"Verbal Intimidation/Simple Assault","Open",,"Individual(s)","1",,,,,,"Unknown"
"250052346","11/21/2025","3D","Anti-Catholic",,"Verbal Intimidation/Simple Assault","Open","1","Religious Organization","1",,,,,,"Known"
"250052224","11/21/2025","1D","Anti-Asian",,"Written Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250051675","11/21/2025","2D","Anti-Jewish",,"Vandalism","Open",,"Society",,,,,,,
"250052047","11/20/2025","5D","Anti-Islamic",,"Vandalism","Open",,"Society",,,,,,,
"250051904","11/19/2025","3D","Anti-Mental Disability",,"Vandalism","Open",,"Business/Financial Institution",,,,,,,
"250051484","11/17/2025","2D","Anti-Homosexual","Anti-Transgender","Other","Open",,"Religious Organization","1",,,,,,"Unknown"
"250050943","11/13/2025","6D","Anti-Other Ethnicity",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,,"Unknown"
"250051032","11/13/2025","4D","Anti-Black",,"Physical Intimidation/Simple Assault","N/A","2","Individual(s)","2",,"1",,,"1","Known"
"250051251","11/13/2025","3D","Anti-Black",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250050461","11/10/2025","2D","Anti-Homosexual","Anti-Transgender","Other","Open",,"Religious Organization","1",,,,,,"Unknown"
"250050061","11/07/2025","2D","Anti-Mental Disability",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250050036","11/07/2025","3D","Anti-Multi-Racial",,"Verbal Intimidation/Simple Assault","Closed-Admin",,"Individual(s)","1",,,,,,"Known"
"250049794","11/06/2025","6D","Anti-Homosexual",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250049884","11/06/2025","2D","Anti-Asian",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250049892","11/06/2025","3D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250048988","11/01/2025","1D","Anti-Jewish",,"Verbal Intimidation/Simple Assault","Open","3","Individual(s)",,,,,,,"Unknown"
"250048574","10/29/2025","2D","Anti-Black","Anti-Mental Disability","Social Media","Closed-Admin",,"Individual(s)","1","1",,,,,"Known"
"250048214","10/27/2025","3D","Anti-Black",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1",,,,,,"Known"
"250048278","10/27/2025","6D","Anti-Hispanic",,"Verbal Intimidation/Simple Assault","Open","5","Individual(s)","1",,,,,,"Unknown"
"250048097","10/26/2025","2D","Anti-Jewish",,"Vandalism","Open","1","Individual(s)","1",,,"1",,,"Known"
"250047829","10/24/2025","6D","Anti-Black",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250047666","10/23/2025","6D","Anti-White",,"Written Intimidation/Simple Assault","Closed-Admin","2","Individual(s)","1","1",,,,,"Known"
"250047505","10/22/2025","3D","Anti-Black",,"Written Intimidation/Simple Assault","Closed-Admin",,"Individual(s)",,,,,,,"Unknown"
"250047093","10/20/2025","2D","Anti-Jewish",,"Vandalism","Closed-Admin",,"Business/Financial Institution",,,,,,,
"250047089","10/20/2025","2D","Anti-Jewish",,"Vandalism","Closed-Admin",,"Business/Financial Institution",,,,,,,
"250046708","10/17/2025","4D","Anti-Jewish",,"Other","Open",,"Religious Organization","1",,,,,,"Unknown"
"250046627","10/17/2025","2D","Anti-Other Ethnicity",,"Other","Open",,"Individual(s)",,,,,,,
"250046485","10/14/2025","2D","Anti-Homosexual","Anti-Transgender","Other","Open",,"Religious Organization","1",,,,,,"Unknown"
"250045965","10/14/2025","5D","Anti-Jewish",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250046120","10/14/2025","2D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250046237","10/14/2025","5D","Anti-Hispanic",,"Verbal Intimidation/Simple Assault","Closed-Admin","2","Individual(s)","1",,,,,"1","Known"
"250046316","10/14/2025","5D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250045573","10/10/2025","5D","Anti-Islamic",,"Vandalism","Open",,"Society",,,,,,,
"250045240","10/09/2025","5D","Anti-Homosexual",,"Verbal Intimidation/Simple Assault","Closed-Admin","2","Individual(s)","1","1",,,,,"Known"
"250045022","10/07/2025","3D","Anti-Black",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250044867","10/06/2025","2D","Anti-Islamic",,"Written Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1",,,,,,"Known"
"250044923","10/06/2025","4D","Anti-Black",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250044518","10/03/2025","2D","Anti-Jewish",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,,"Unknown"
"250044481","10/03/2025","2D","Anti-Black",,"Written Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250044191","10/01/2025","1D","Anti-Jewish","Anti-Black","Vandalism","Open",,"School/College",,,,,,,
"250044179","10/01/2025","2D","Anti-White","Anti-Homosexual","Assault (simple)","Open","2","School/College","2","2",,,,,"Known"
"250043998","09/30/2025","3D","Anti-Black",,"Written Intimidation/Simple Assault","Closed-Admin",,"School/College",,,,,,,
"250043732","09/29/2025","6D","Anti-Black",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250043549","09/27/2025","2D","Anti-Jewish",,"Assault (simple)","Open","1","Individual(s)","1",,,,,,"Known"
"250043477","09/27/2025","5D","Anti-Female",,"Verbal Intimidation/Simple Assault","Open","2","Individual(s)","1",,,,,,"Known"
"250043324","09/26/2025","6D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250043131","09/25/2025","6D","Anti-Black",,"Display of Noose","Closed-Admin",,"School/College",,,,,,,
"250042761","09/23/2025","4D","Anti-Jewish",,"Written Intimidation/Simple Assault","Open",,"Business/Financial Institution",,,,,,,
"250042205","09/19/2025","1D","Anti-Jewish",,"Written Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250041830","09/19/2025","2D","Anti-Jewish",,"Verbal Intimidation/Simple Assault","N/A","1","Individual(s)","1",,,,,,"Unknown"
"250042146","09/19/2025","4D","Anti-Black",,"Written Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250041816","09/18/2025","2D","Anti-Black",,"Written Intimidation/Simple Assault","Closed-Admin",,"School/College",,,,,,,
"250042126","09/18/2025","5D","Anti-Black",,"Physical Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,,"Unknown"
"250041568","09/18/2025","4D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250041969","09/16/2025","4D","Anti-Black",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250041663","09/16/2025","3D","Anti-Black",,"Verbal Intimidation/Simple Assault","Open","1","Government","1","1",,,,,"Known"
"250041427","09/15/2025","2D","Anti-Jewish","Anti-Homosexual","Written Intimidation/Simple Assault","Open","1","Individual(s)",,,,,,,
"250041363","09/15/2025","6D","Anti-Multi-Racial",,"Verbal Intimidation/Simple Assault","Open","2","Individual(s)","2",,,"1","1",,"Known"
"250041300","09/14/2025","6D","Anti-Asian","Anti-Black","Verbal Intimidation/Simple Assault","Open","1","Individual(s)","3",,"1","1",,,"Known"
"250040635","09/11/2025","3D","Anti-Black",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250040623","09/10/2025","4D","Anti-Jewish",,"Written Intimidation/Simple Assault","Open","3","Business/Financial Institution",,,,,,,
"250040406","09/09/2025","2D","Anti-Jewish",,"Vandalism","Open",,"School/College",,,,,,,
"250040622","09/09/2025","2D","Anti-Jewish","Anti-Black","Verbal Intimidation/Simple Assault","Closed-Admin",,,"1",,,,,,"Unknown"
"250040106","09/07/2025","3D","Anti-Asian",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,"1","Known"
"250039844","09/05/2025","2D","Anti-Other Ethnicity",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,,"Unknown"
"250039689","09/04/2025","5D","Anti-Jewish",,"Social Media","Open","1","Business/Financial Institution","2",,,,,,"Known"
"250039442","09/03/2025","2D","Anti-Black","Anti-Jewish","Written Intimidation/Simple Assault","Open",,,"1",,,,,,"Unknown"
"250039827","09/03/2025","2D","Anti-Jewish",,"Written Intimidation/Simple Assault","Open",,,,,,,,,
"250039230","09/02/2025","1D","Anti-Jewish",,"Other","Open",,"Religious Organization",,,,,,,
"250038916","08/30/2025","3D","Anti-Jewish",,"Written Intimidation/Simple Assault","Open","2","Individual(s)",,,,,,,
"250038890","08/30/2025","2D","Anti-Other Religion",,"Verbal Intimidation/Simple Assault","Open","2","Individual(s)","2",,,"2","1",,"Known"
"250038695","08/29/2025","2D","Anti-Black",,"Written Intimidation/Simple Assault","Closed-Admin",,,"2","2",,,,,"Known"
"250038460","08/28/2025","2D","Anti-Black","Anti-Jewish","Vandalism","Open",,"Business/Financial Institution",,,,,,,
"250038859","08/28/2025","1D","Anti-Transgender",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,"1","Known"
"250038247","08/26/2025","2D","Anti-Jewish",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,"1","Known"
"250037980","08/25/2025","1D","Anti-Black",,"Assault (physical)","Closed-Exception","2","Individual(s)","1","1",,,,,"Known"
"250038150","08/25/2025","5D","Anti-Hispanic",,"Verbal Intimidation/Simple Assault","Open",,"Individual(s)","1",,,,,"1","Known"
"250037741","08/23/2025","1D","Anti-Islamic",,"Vandalism-Motor Vehicle","Open","1","Individual(s)",,,,,,,
"250037780","08/23/2025","6D","Anti-Black",,"Vandalism-Motor Vehicle","Open","1","Individual(s)",,,,,,,
"250037336","08/21/2025","5D","Anti-Black",,"Vandalism","Open","1","Individual(s)",,,,,,,
"250036794","08/17/2025","2D","Anti-Black",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,,"Known"
"250036433","08/15/2025","5D","Anti-Black",,"Verbal Intimidation/Simple Assault","Open","2","Government","1",,,,,"1","Known"
"250036320","08/14/2025","2D","Anti-Black",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","2",,,"1","1",,"Known"
"250036117","08/13/2025","5D","Anti-Hispanic",,"Verbal Intimidation/Simple Assault","Open",,,,,,,,,
"250036071","08/13/2025","1D","Anti-Jewish",,"Vandalism","Open","1","Religious Organization",,,,,,,
"250034825","08/05/2025","1D","Anti-Jewish",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,,"Unknown"
"250034326","08/01/2025","4D","Anti-Black",,"Assault (physical)","Open","1","Individual(s)","1",,,,,"1","Known"
"250033461","07/27/2025","2D","Anti-Jewish",,"Vandalism-Motor Vehicle","Open","1","Individual(s)",,,,,,,
"250033435","07/27/2025","1D","Anti-Protestant",,"Vandalism-Motor Vehicle","Open","2","Individual(s)",,,,,,,
"250032738","07/23/2025","3D","Anti-Asian",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,"1",,"Known"
"250032530","07/21/2025","6D","Anti-Jewish",,"Verbal Intimidation/Simple Assault","Open","2","Individual(s)","2",,,"1",,"1","Known"
"250032287","07/19/2025","6D","Anti-Jewish",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)",,,,,,,
"250032220","07/19/2025","6D","Anti-Jewish",,"Assault (simple)","Open","2","Individual(s)","1",,"1",,,,"Known"
"250032098","07/18/2025","2D","Anti-Jewish",,"Vandalism","Open","1","Individual(s)",,,,,,,
"250031832","07/16/2025","6D","Anti-Multi-Racial",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,,"Known"
"250031730","07/16/2025","4D","Anti-Black",,"Assault (physical)","Open","1","Individual(s)","3",,,,,,"Known"
"250031385","07/14/2025","2D","Anti-Male Homosexual",,"Vandalism","Open",,"Society",,,,,,,
"250030857","07/11/2025","4D","Anti-Black",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)",,,,,,,
"250030697","07/10/2025","3D","Anti-Black",,"Vandalism","Open",,"School/College",,,,,,,
"250030187","07/07/2025","1D","Anti-Black","Anti-Jewish","Vandalism","Open",,"Business/Financial Institution",,,,,,,
"250029247","07/01/2025","1D","Anti-Jewish",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)",,,,,,,"Unknown"
"250029192","07/01/2025","3D","Anti-Jewish",,"Vandalism","Open",,"Society",,,,,,,
"250029240","07/01/2025","3D","Anti-Hispanic",,"Assault (physical)","Open","4","Individual(s)","1",,,,,"1","Known"
"250028664","06/27/2025","1D","Anti-Jewish","Anti-Black","Vandalism","Open",,"School/College",,,,,,,
"250028594","06/27/2025","2D","Anti-Jewish",,"Vandalism","Open",,"School/College",,,,,,,
"250028716","06/27/2025","2D","Anti-Jewish",,"Vandalism","Open",,"Religious Organization",,,,,,,
"250028356","06/25/2025","6D","Anti-White",,"Verbal Intimidation/Simple Assault","Open","2","Individual(s)","1",,,,"1",,"Known"
"250028235","06/24/2025","6D","Anti-Hispanic",,"Other","Open","1","Individual(s)","1",,,,,,"Known"
"250027920","06/23/2025","2D","Anti-Jewish",,"Vandalism","Open",,"School/College",,,,,,,
"250027395","06/19/2025","3D","Anti-Black",,"Written Intimidation/Simple Assault","Open","1","Individual(s)",,,,,,,
"250027206","06/18/2025","2D","Anti-Jewish","Anti-Homosexual","Vandalism","Open",,"Society",,,,,,,
"250027117","06/18/2025","4D","Anti-Black","Anti-Hispanic","Verbal Intimidation/Simple Assault","Open",,"Individual(s)",,,,,,,
"250026822","06/16/2025","6D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250026803","06/16/2025","2D","Anti-White",,"Verbal Intimidation/Simple Assault","Open","2","Individual(s)","1",,,,,"1","Known"
"250026712","06/15/2025","TPPD","Anti-Jewish",,"Written Intimidation/Simple Assault","Open","1","Individual(s)",,,,,,,
"250026391","06/13/2025","4D","Anti-Jewish",,"Written Intimidation/Simple Assault","Open","1","Individual(s)",,,,,,,
"250026459","06/13/2025","2D","Anti-Other Ethnicity",,"Verbal Intimidation/Simple Assault","Open","2","Individual(s)","2",,"2",,,,"Known"
"250026480","06/13/2025","4D","Anti-Black",,"Assault (simple)","Open","2","Individual(s)","1",,,,,,"Unknown"
"250026062","06/11/2025","2D","Anti-Homosexual",,"Written Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250026018","06/11/2025","4D","Anti-Jewish",,"Vandalism","Open",,"Religious Organization",,,,,,,
"250026109","06/11/2025","6D","Anti-Black",,"Vandalism-Motor Vehicle","Open","1","Individual(s)",,,,,,,
"250025508","06/08/2025","2D","Anti-Hispanic",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,,"Known"
"250025209","06/06/2025","3D","Anti-Jewish",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,"1","Known"
"250025372","06/03/2025","2D","Anti-Black",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,"1","Unknown"
"250024686","06/03/2025","4D","Anti-Black",,"Verbal Intimidation/Simple Assault","Closed-Admin","2","Individual(s)","1","1",,,,,"Known"
"250024452","06/02/2025","6D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250024378","06/01/2025","2D","Anti-Homosexual",,"Other","Open","1","Individual(s)",,,,,,,
"250023896","05/29/2025","2D","Anti-Black",,"Written Intimidation/Simple Assault","Closed-Admin",,,"1","1",,,,,"Known"
"250023484","05/27/2025","3D","Anti-Jewish",,"Vandalism","Closed-Admin",,"Society",,,,,,,
"250023499","05/27/2025","4D","Anti-Homosexual","Anti-Jewish","Verbal Intimidation/Simple Assault","Closed-Admin",,"Individual(s)","1","1",,,,,"Known"
"250023398","05/27/2025","6D","Anti-Jewish",,"Written Intimidation/Simple Assault","Closed-Admin",,"School/College",,,,,,,
"250023511","05/27/2025","1D","Anti-Black",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250023115","05/26/2025","3D","Anti-Hispanic","Anti-Black","Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)",,,,,,,
"250023199","05/25/2025","3D","Anti-Other Religion",,"Other","N/A",,"Religious Organization",,,,,,,
"250023177","05/25/2025","5D","Anti-Black","Anti-Hispanic","Verbal Intimidation/Simple Assault","Open","3","Individual(s)","1",,,,"1",,"Known"
"250022892","05/23/2025","3D","Anti-Buddhist",,"Physical Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250022679","05/23/2025","6D","Anti-Black","Anti-Mental Disability","Written Intimidation/Simple Assault","Closed-Admin",,"Individual(s)","1","1",,,,,"Known"
"250022480","05/22/2025","1D","Anti-Black","Anti-Jewish","Verbal Intimidation/Simple Assault","Closed-Admin",,"Individual(s)","1","1",,,,,"Known"
"250022471","05/21/2025","5D","Anti-Black",,"Verbal Intimidation/Simple Assault","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250022328","05/20/2025","3D","Anti-Jewish",,"Written Intimidation/Simple Assault","Open","1","Religious Organization",,,,,,,
"250022196","05/19/2025","1D","Anti-Male Homosexual",,"Verbal Intimidation/Simple Assault","Closed-Arrest","1","Individual(s)","1",,"1",,,,"Known"
"250022208","05/19/2025","2D","Anti-Jewish",,"Written Intimidation/Simple Assault","Open",,"Religious Organization",,,,,,,
"250022081","05/19/2025","5D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250022037","05/19/2025","2D","Anti-Islamic",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)",,,,,,,
"250021973","05/18/2025","2D","Anti-Hispanic",,"Verbal Intimidation/Simple Assault","Open","2","Individual(s)","1",,,,,"1","Known"
"250021848","05/17/2025","6D","Anti-Black",,"Assault (simple)","Open","1","Individual(s)","1",,,,"1",,"Known"
"250021689","05/16/2025","3D","Anti-Black",,"Assault (simple)","Closed-Admin","1","Individual(s)","1",,,,,,"Known"
"250021592","05/16/2025","4D","Anti-Jewish",,"Social Media","Closed-Admin",,"Other","1","1",,,,,"Known"
"250021585","05/16/2025","2D","Anti-Black","Anti-Jewish","Vandalism","Closed-Admin",,"School/College",,,,,,,
"250021605","05/16/2025","1D","Anti-Jewish",,"Vandalism","Open",,,,,,,,,
"250021299","05/15/2025","1D","Anti-Black",,"Written Intimidation/Simple Assault","Closed-Admin",,"School/College","1","1",,,,,"Known"
"250021239","05/15/2025","1D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250021387","05/15/2025","1D","Anti-Jewish",,"Vandalism","Closed-Admin",,"School/College",,,,,,,
"250021379","05/15/2025","5D","Anti-Black",,"Vandalism","Closed-Admin",,"Society","1","1",,,,,"Known"
"250021384","05/15/2025","1D","Anti-Jewish",,"Written Intimidation/Simple Assault","Open",,"Religious Organization",,,,,,,
"250021250","05/14/2025","5D","Anti-Black",,"Written Intimidation/Simple Assault","Closed-Admin",,"School/College",,,,,,,
"250021274","05/14/2025","TPPD","Anti-Homosexual",,"Other","N/A","2","Individual(s)","1",,,,,,"Known"
"250020937","05/13/2025","2D","Anti-Homosexual","Anti-Black","Verbal Intimidation/Simple Assault","Closed-Admin","3","Individual(s)","1","1",,,,,"Known"
"250020998","05/12/2025","4D","Anti-Homosexual",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,"1",,,,"Known"
"250020619","05/10/2025","4D","Anti-Homosexual",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","2",,"1",,,,"Known"
"250020476","05/08/2025","1D","Anti-Black",,"Written Intimidation/Simple Assault","Closed-Admin",,"School/College",,,,,,,"Unknown"
"250020501","05/08/2025","3D","Anti-Black",,"Written Intimidation/Simple Assault","Closed-Admin",,"School/College",,,,,,,"Unknown"
"250019081","05/07/2025","4D","Anti-Black",,"Verbal Intimidation/Simple Assault","Open",,"Business/Financial Institution","1",,,,,,"Known"
"250019938","05/06/2025","6D","Anti-Hindhu",,"Physical Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,,"Unknown"
"250019665","05/05/2025","2D","Anti-Hispanic","Anti-Other Religion","Verbal Intimidation/Simple Assault","Open",,"Individual(s)","1",,,,,,"Unknown"
"250019068","05/05/2025","1D","Anti-Jewish","Anti-Black","Vandalism","Closed-Admin",,"School/College",,,,,,,
"250019482","05/03/2025","6D","Anti-Black",,"Assault (physical)","Closed-Arrest",,"Individual(s)","1",,"1",,,,"Known"
"250017989","05/02/2025","3D","Anti-Jewish",,"Written Intimidation/Simple Assault","Closed-Admin",,"School/College",,,,,,,
"250019130","05/01/2025","2D","Anti-Jewish",,"Other","Open","1","Individual(s)",,,,,,,"Unknown"
"250018888","04/30/2025","GCPD","Anti-Multi-Racial",,"Verbal Intimidation/Simple Assault","Closed-Admin",,"School/College","1","1",,,,,"Known"
"250018688","04/29/2025","3D","Anti-Transgender",,"Other","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250018374","04/28/2025","6D","Anti-Hispanic",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,"1",,,,"Known"
"250018530","04/28/2025","1D","Anti-Black",,"Social Media","Closed-Admin","1","Individual(s)","1","1",,,,,"Known"
"250018487","04/28/2025","2D","Anti-Black",,"Vandalism","Closed-Admin",,"School/College","2","2",,,,,"Known"
"250018218","04/26/2025","GCPD","Anti-Black",,"Vandalism","Open",,"Business/Financial Institution",,,,,,,"Unknown"
"250017928","04/23/2025","6D","Anti-Jewish",,"Other","Closed-Admin",,"School/College","1","1",,,,,"Known"
"250017500","04/22/2025","4D","Anti-Black",,"Verbal Intimidation/Simple Assault","Open","1","Individual(s)","1",,,,,,"Unknown"
"250017146","04/20/2025","RCPD","Anti-Black",,"Assault (simple)","Inactive","1","Individual(s)","1",,,,,,"Known"
"250017074","04/19/2025","3D","Anti-Black",,"Verbal Intimidation/Simple Assault","Closed-Arrest","2","Individual(s)","1",,,"1",,,"Known"
"250016909","04/18/2025","1D","Anti-Jewish",,"Other","Open",,"School/College",,,,,,,"Unknown"
